Epic / Phân Hệ,Mã US,Tên Chức Năng (User Story chuẩn Agile),Story Points,Độ Ưu Tiên,Acceptance Criteria (Tiêu Chí Nghiệm Thu Chi Tiết),Trạng Thái,Người Phụ Trách (Dev),Người Phụ Trách (Tester),Sprint Dự Kiến,Ghi Chú
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-50,"Là Khách hàng, tôi muốn tự truy cập cổng Customer Portal bằng số điện thoại để kiểm tra điểm thưởng và hạng thẻ của mình.",2,Thấp,"1. Khách hàng truy cập đường dẫn `/customer-portal/{phone}`.
2. Hiển thị thông tin: Họ tên, Hạng thẻ hiện tại, Số điểm tích lũy, Lịch sử giao dịch tích điểm/tiêu điểm.
3. Giao diện tối ưu hiển thị trên các thiết bị di động cá nhân.",Chưa bắt đầu,Thuận,Kha,4,Customer Portal hiển thị di động
9. CHƯƠNG TRÌNH KHUYẾN MÃI (PROMOTION),US-51,"Là Quản lý chi nhánh, tôi muốn cấu hình chương trình Khuyến mãi giảm giá theo món để áp dụng giảm trực tiếp giá món ăn.",3,Trung bình,"1. Nhập thông tin khuyến mãi: Tên chương trình, Mã coupon, Giá trị giảm (số tiền cố định hoặc tỷ lệ %), Thời gian hiệu lực.
2. Cho phép chọn món ăn áp dụng trong thực đơn.
3. Món ăn được hiển thị giá đã giảm trên màn hình bán hàng POS.",Chưa bắt đầu,Kha,Thuận,5,Khuyến mãi giảm giá theo món
9. CHƯƠNG TRÌNH KHUYẾN MÃI (PROMOTION),US-52,"Là Quản lý chi nhánh, tôi muốn cấu hình chương trình Mua 1 Tặng 1 (Buy 1 Get 1 - B1G1) để đẩy nhanh doanh số tiêu thụ các món mới.",5,Trung bình,"1. Chọn sản phẩm kích hoạt (triggerProductId) và sản phẩm quà tặng (rewardProductId).
2. Khi thu ngân thêm sản phẩm kích hoạt vào giỏ hàng POS, Promotion Engine tự động thêm món tặng giá 0 VNĐ vào giỏ.
3. Tự động xóa món tặng nếu sản phẩm kích hoạt bị xóa khỏi giỏ.",Chưa bắt đầu,Kha,Thuận,5,Khuyến mãi Buy-1-Get-1
9. CHƯƠNG TRÌNH KHUYẾN MÃI (PROMOTION),US-53,"Là Thu ngân, tôi muốn nhập mã giảm giá Coupon tại màn hình POS để chiết khấu hóa đơn cho khách có voucher.",3,Trung bình,"1. Có ô nhập mã Coupon tại giao diện checkout POS.
2. Kiểm tra tính hợp lệ: Mã có tồn tại? Đơn hàng đạt giá trị tối thiểu? Đơn hàng nằm trong thời gian áp dụng? Giới hạn lượt dùng còn không?
3. Áp dụng mức giảm giá vào tổng bill và lưu lịch sử dùng coupon vào bảng `promotion_usage`.",Chưa bắt đầu,Thuận,Kha,5,Áp dụng coupon thủ công
9. CHƯƠNG TRÌNH KHUYẾN MÃI (PROMOTION),US-54,"Là Hệ thống, tôi muốn tự động áp dụng chương trình khuyến mãi có lợi nhất cho khách hàng để tăng trải nghiệm hài lòng mua sắm.",5,Trung bình,"1. Khi thanh toán, Promotion Engine tự động duyệt toàn bộ coupon khả dụng trong DB.
2. So sánh số tiền được giảm của từng coupon.
3. Tự động áp dụng coupon giảm giá nhiều tiền nhất (tối ưu nhất) vào hóa đơn mà khách hàng không cần nhập mã.",Chưa bắt đầu,Thuận,Kha,5,Thuật toán áp dụng Optimal Promo
10. VẬN HÀNH ĐA CHI NHÁNH (MULTI-BRANCH),US-55,"Là Chủ chuỗi (Admin), tôi muốn quản lý danh sách các chi nhánh cửa hàng để tôi mở rộng hoặc theo dõi toàn bộ cơ sở kinh doanh.",3,Cao,"1. Giao diện quản lý chi nhánh gồm: Mã chi nhánh (branch_id), Tên chi nhánh, Địa chỉ, Số điện thoại, trạng thái hoạt động.
2. Cho phép thêm mới chi nhánh, tạm ngưng hoạt động (`is_active = false`) hoặc mở lại chi nhánh.",Chưa bắt đầu,Dũng,Lộc,5,Quản lý bảng branches
10. VẬN HÀNH ĐA CHI NHÁNH (MULTI-BRANCH),US-56,"Là Chủ chuỗi (Admin), tôi muốn hệ thống phân tách dữ liệu hoạt động theo chi nhánh để bảo mật thông tin và tránh nhầm lẫn.",5,Cao,"1. Tài khoản Cashier/Manager được gán cố định `branch_id`.
2. Spring Security chặn yêu cầu và tự động lọc dữ liệu qua JPA: Chỉ cho phép xem/thao tác kho, bàn ăn, nhân sự, hóa đơn thuộc chi nhánh mình trực thuộc.
3. Tài khoản Super Admin (`branch_id = NULL`) có quyền xem toàn chuỗi.",Chưa bắt đầu,Dũng,Lộc,5,Cơ chế Logical Isolation
10. VẬN HÀNH ĐA CHI NHÁNH (MULTI-BRANCH),US-57,"Là Người quản lý, tôi muốn điều chỉnh giá bán và trạng thái món ăn riêng biệt theo chi nhánh để bù đắp chênh lệch chi phí vận hành vùng miền.",3,Trung bình,"1. Có giao diện cấu hình giá thực đơn riêng cho chi nhánh.
2. Cho phép điền `custom_price` của từng biến thể món ăn riêng biệt.
3. Cho phép bật/tắt phục vụ món ăn dựa trên nguồn nguyên liệu tại chỗ, lưu vào bảng `branch_product_prices`.",Chưa bắt đầu,Lộc,Dũng,5,Giá bán riêng chi nhánh
10. VẬN HÀNH ĐA CHI NHÁNH (MULTI-BRANCH),US-58,"Là Quản lý chi nhánh con, tôi muốn tạo phiếu đặt hàng bổ sung nguyên vật liệu nội bộ (IPO) gửi lên Kho tổng khi chi nhánh sắp hết hàng.",3,Trung bình,"1. Tự động gợi ý tạo đơn khi tồn kho dưới ngưỡng `reorder_point`.
2. Cho phép tạo đơn hàng nội bộ IPO chọn gửi đến chi nhánh được định nghĩa là Kho tổng (`is_warehouse = true`).
3. Trạng thái phiếu đặt nội bộ mặc định là SUBMITTED.",Chưa bắt đầu,Lộc,Dũng,5,Đơn hàng nội bộ IPO
10. VẬN HÀNH ĐA CHI NHÁNH (MULTI-BRANCH),US-59,"Là Quản lý chi nhánh, tôi muốn thực hiện quy trình chuyển kho nội bộ và đối soát hao hụt để luân chuyển nguyên vật liệu trong chuỗi.",5,Trung bình,"1. Xuất hàng (Ship): Giảm tồn kho ở kho nguồn, đổi trạng thái phiếu sang SHIPPED, hàng đi vào trạng thái Đang vận chuyển.
2. Nhận hàng (Receive): Kho đích kiểm đếm nhập số lượng thực nhận, tự động tính chênh lệch hao hụt rơi vỡ (`loss_quantity = shipped - received`) và lý do.
3. Cộng kho đích theo số lượng thực nhận, lưu lịch sử logs.",Chưa bắt đầu,Dũng,Lộc,5,Chuyển kho & đối soát hao hụt
11. BÁO CÁO & PHÂN TÍCH (ANALYTICS),US-60,"Là Quản lý chi nhánh, tôi muốn xem báo cáo doanh thu theo chi nhánh trực quan theo ngày, tuần, tháng để đánh giá tình hình kinh doanh.",5,Cao,"1. Có trang Dashboard hiển thị biểu đồ đường cột doanh thu.
2. Hỗ trợ lọc doanh thu theo Chi nhánh, Phương thức thanh toán (Tiền mặt/VNPay), Thời gian.
3. Lấy dữ liệu từ bảng orders có trạng thái SERVED.",Chưa bắt đầu,Kha,Thuận,6,Dashboard báo cáo doanh số
11. BÁO CÁO & PHÂN TÍCH (ANALYTICS),US-61,"Là Quản lý, tôi muốn xuất báo cáo doanh thu và báo cáo xuất nhập kho ra tệp Excel để phục vụ đối soát kế toán.",3,Cao,"1. Có nút 'Xuất Excel' trên các trang báo cáo doanh số và báo cáo tồn kho.
2. Tự động sinh tệp Excel chứa dữ liệu thô đã được định dạng cột rõ ràng.
3. Cho phép tải tệp trực tiếp về máy tính cá nhân.",Chưa bắt đầu,Kha,Thuận,6,Tải báo cáo định dạng Excel
11. BÁO CÁO & PHÂN TÍCH (ANALYTICS),US-62,"Là Người quản lý, tôi muốn xem thống kê hiệu quả sử dụng của các chương trình khuyến mãi để điều chỉnh ngân sách tiếp thị.",3,Trung bình,"1. Hiển thị báo cáo số lượng coupon đã sử dụng, tổng số tiền đã giảm giá theo từng chương trình.
2. Tính toán tỷ lệ chuyển đổi của các chiến dịch.
3. Lọc dữ liệu dựa trên bảng promotion_usage.",Chưa bắt đầu,Thuận,Kha,6,Báo cáo hiệu quả khuyến mãi
11. BÁO CÁO & PHÂN TÍCH (ANALYTICS),US-63,"Là Người quản lý, tôi muốn xem thống kê tỷ lệ quay lại của khách hàng thành VIP để đánh giá mức độ trung thành của hội viên.",2,Thấp,"1. Báo cáo phân tích số lượng khách hàng theo từng phân hạng thẻ (Bronze, Silver, Gold, Platinum).
2. Thống kê tần suất ăn uống trung bình của khách hàng thành viên có gán SĐT.
3. Hiển thị biểu đồ phân bố trực quan.",Chưa bắt đầu,Thuận,Kha,6,Báo cáo phân tích hội viên VIP
11. BÁO CÁO & PHÂN TÍCH (ANALYTICS),US-64,"Là Chủ chuỗi (Admin), tôi muốn trò chuyện trực tiếp với Trợ lý AI Assistant để phân tích nhanh doanh số và đề xuất giải pháp tối ưu hoạt động chuỗi.",5,Trung bình,"1. Có giao diện chatbox AI tích hợp ngay trên Dashboard quản trị.
2. Cho phép nhập câu hỏi phân tích (Ví dụ: 'Món ăn nào bán chạy nhất chi nhánh quận 1 tháng này?').
3. Trợ lý AI kết nối an toàn với Gemini API, truy vấn cơ sở dữ liệu bán hàng và trả về câu trả lời phân tích dưới 3 giây.",Chưa bắt đầu,Kha,Thuận,6,Tích hợp Gemini AI Service
